,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,EventTime
52,53,1,1,1,49.0,1,0,1666613328.0
53,54,1,2,1,29.0,1,0,1666613328.0
54,55,0,1,0,65.0,0,1,1666613328.0
55,56,1,1,0,-1.0,0,0,1666613328.0
56,57,1,2,1,21.0,0,0,1666613328.0
57,58,0,3,0,28.5,0,0,1666613328.0
58,59,1,2,1,5.0,1,2,1666613328.0
59,60,0,3,0,11.0,5,2,1666613328.0
60,61,0,3,0,22.0,0,0,1666613328.0
61,62,1,1,1,38.0,0,0,1666613328.0
62,63,0,1,0,45.0,1,0,1666613328.0
63,64,0,3,0,4.0,3,2,1666613328.0
64,65,0,1,0,-1.0,0,0,1666613328.0
65,66,1,3,0,-1.0,1,1,1666613328.0
66,67,1,2,1,29.0,0,0,1666613328.0
67,68,0,3,0,19.0,0,0,1666613328.0
68,69,1,3,1,17.0,4,2,1666613328.0
69,70,0,3,0,26.0,2,0,1666613328.0
70,71,0,2,0,32.0,0,0,1666613328.0
71,72,0,3,1,16.0,5,2,1666613328.0
72,73,0,2,0,21.0,0,0,1666613328.0
73,74,0,3,0,26.0,1,0,1666613328.0
74,75,1,3,0,32.0,0,0,1666613328.0
75,76,0,3,0,25.0,0,0,1666613328.0
76,77,0,3,0,-1.0,0,0,1666613328.0
77,78,0,3,0,-1.0,0,0,1666613328.0
78,79,1,2,0,0.83,0,2,1666613328.0
79,80,1,3,1,30.0,0,0,1666613328.0
80,81,0,3,0,22.0,0,0,1666613328.0
81,82,1,3,0,29.0,0,0,1666613328.0
82,83,1,3,1,-1.0,0,0,1666613328.0
83,84,0,1,0,28.0,0,0,1666613328.0
84,85,1,2,1,17.0,0,0,1666613328.0
85,86,1,3,1,33.0,3,0,1666613328.0
86,87,0,3,0,16.0,1,3,1666613328.0
87,88,0,3,0,-1.0,0,0,1666613328.0
88,89,1,1,1,23.0,3,2,1666613328.0
89,90,0,3,0,24.0,0,0,1666613328.0
90,91,0,3,0,29.0,0,0,1666613328.0
91,92,0,3,0,20.0,0,0,1666613328.0
92,93,0,1,0,46.0,1,0,1666613328.0
93,94,0,3,0,26.0,1,2,1666613328.0
94,95,0,3,0,59.0,0,0,1666613328.0
95,96,0,3,0,-1.0,0,0,1666613328.0
96,97,0,1,0,71.0,0,0,1666613328.0
97,98,1,1,0,23.0,0,1,1666613328.0
98,99,1,2,1,34.0,0,1,1666613328.0
99,100,0,2,0,34.0,1,0,1666613328.0
100,101,0,3,1,28.0,0,0,1666613328.0
101,102,0,3,0,-1.0,0,0,1666613328.0
102,103,0,1,0,21.0,0,1,1666613328.0
103,104,0,3,0,33.0,0,0,1666613328.0
104,105,0,3,0,37.0,2,0,1666613328.0
105,106,0,3,0,28.0,0,0,1666613328.0
106,107,1,3,1,21.0,0,0,1666613328.0
107,108,1,3,0,-1.0,0,0,1666613328.0
108,109,0,3,0,38.0,0,0,1666613328.0
109,110,1,3,1,-1.0,1,0,1666613328.0
110,111,0,1,0,47.0,0,0,1666613328.0
111,112,0,3,1,14.5,1,0,1666613328.0
112,113,0,3,0,22.0,0,0,1666613328.0
113,114,0,3,1,20.0,1,0,1666613328.0
114,115,0,3,1,17.0,0,0,1666613328.0
115,116,0,3,0,21.0,0,0,1666613328.0
116,117,0,3,0,70.5,0,0,1666613328.0
117,118,0,2,0,29.0,1,0,1666613328.0
118,119,0,1,0,24.0,0,1,1666613328.0
119,120,0,3,1,2.0,4,2,1666613328.0
120,121,0,2,0,21.0,2,0,1666613328.0
121,122,0,3,0,-1.0,0,0,1666613328.0
122,123,0,2,0,32.5,1,0,1666613328.0
123,124,1,2,1,32.5,0,0,1666613328.0
124,125,0,1,0,54.0,0,1,1666613328.0
125,126,1,3,0,12.0,1,0,1666613328.0
126,127,0,3,0,-1.0,0,0,1666613328.0
127,128,1,3,0,24.0,0,0,1666613328.0
128,129,1,3,1,-1.0,1,1,1666613328.0
129,130,0,3,0,45.0,0,0,1666613328.0
130,131,0,3,0,33.0,0,0,1666613328.0
131,132,0,3,0,20.0,0,0,1666613328.0
132,133,0,3,1,47.0,1,0,1666613328.0
133,134,1,2,1,29.0,1,0,1666613328.0
134,135,0,2,0,25.0,0,0,1666613328.0
135,136,0,2,0,23.0,0,0,1666613328.0
136,137,1,1,1,19.0,0,2,1666613328.0
137,138,0,1,0,37.0,1,0,1666613328.0
138,139,0,3,0,16.0,0,0,1666613328.0
139,140,0,1,0,24.0,0,0,1666613328.0
140,141,0,3,1,-1.0,0,2,1666613328.0
141,142,1,3,1,22.0,0,0,1666613328.0
142,143,1,3,1,24.0,1,0,1666613328.0
143,144,0,3,0,19.0,0,0,1666613328.0
144,145,0,2,0,18.0,0,0,1666613328.0
145,146,0,2,0,19.0,1,1,1666613328.0
146,147,1,3,0,27.0,0,0,1666613328.0
147,148,0,3,1,9.0,2,2,1666613328.0
148,149,0,2,0,36.5,0,2,1666613328.0
149,150,0,2,0,42.0,0,0,1666613328.0
150,151,0,2,0,51.0,0,0,1666613328.0
151,152,1,1,1,22.0,1,0,1666613328.0
152,153,0,3,0,55.5,0,0,1666613328.0
153,154,0,3,0,40.5,0,2,1666613328.0
154,155,0,3,0,-1.0,0,0,1666613328.0
155,156,0,1,0,51.0,0,1,1666613328.0
156,157,1,3,1,16.0,0,0,1666613328.0
157,158,0,3,0,30.0,0,0,1666613328.0
158,159,0,3,0,-1.0,0,0,1666613328.0
159,160,0,3,0,-1.0,8,2,1666613328.0
160,161,0,3,0,44.0,0,1,1666613328.0
161,162,1,2,1,40.0,0,0,1666613328.0
162,163,0,3,0,26.0,0,0,1666613328.0
163,164,0,3,0,17.0,0,0,1666613328.0
164,165,0,3,0,1.0,4,1,1666613328.0
165,166,1,3,0,9.0,0,2,1666613328.0
166,167,1,1,1,-1.0,0,1,1666613328.0
167,168,0,3,1,45.0,1,4,1666613328.0
168,169,0,1,0,-1.0,0,0,1666613328.0
169,170,0,3,0,28.0,0,0,1666613328.0
170,171,0,1,0,61.0,0,0,1666613328.0
171,172,0,3,0,4.0,4,1,1666613328.0
172,173,1,3,1,1.0,1,1,1666613328.0
173,174,0,3,0,21.0,0,0,1666613328.0
174,175,0,1,0,56.0,0,0,1666613328.0
175,176,0,3,0,18.0,1,1,1666613328.0
176,177,0,3,0,-1.0,3,1,1666613328.0
177,178,0,1,1,50.0,0,0,1666613328.0
178,179,0,2,0,30.0,0,0,1666613328.0
179,180,0,3,0,36.0,0,0,1666613328.0
180,181,0,3,1,-1.0,8,2,1666613328.0
181,182,0,2,0,-1.0,0,0,1666613328.0
182,183,0,3,0,9.0,4,2,1666613328.0
183,184,1,2,0,1.0,2,1,1666613328.0
184,185,1,3,1,4.0,0,2,1666613328.0
185,186,0,1,0,-1.0,0,0,1666613328.0
186,187,1,3,1,-1.0,1,0,1666613328.0
187,188,1,1,0,45.0,0,0,1666613328.0
188,189,0,3,0,40.0,1,1,1666613328.0
189,190,0,3,0,36.0,0,0,1666613328.0
190,191,1,2,1,32.0,0,0,1666613328.0
191,192,0,2,0,19.0,0,0,1666613328.0
192,193,1,3,1,19.0,1,0,1666613328.0
193,194,1,2,0,3.0,1,1,1666613328.0
194,195,1,1,1,44.0,0,0,1666613328.0
195,196,1,1,1,58.0,0,0,1666613328.0
196,197,0,3,0,-1.0,0,0,1666613328.0
197,198,0,3,0,42.0,0,1,1666613328.0
198,199,1,3,1,-1.0,0,0,1666613328.0
199,200,0,2,1,24.0,0,0,1666613328.0
200,201,0,3,0,28.0,0,0,1666613328.0
201,202,0,3,0,-1.0,8,2,1666613328.0
202,203,0,3,0,34.0,0,0,1666613328.0
203,204,0,3,0,45.5,0,0,1666613328.0
204,205,1,3,0,18.0,0,0,1666613328.0
205,206,0,3,1,2.0,0,1,1666613328.0
206,207,0,3,0,32.0,1,0,1666613328.0
207,208,1,3,0,26.0,0,0,1666613328.0
208,209,1,3,1,16.0,0,0,1666613328.0
209,210,1,1,0,40.0,0,0,1666613328.0
210,211,0,3,0,24.0,0,0,1666613328.0
211,212,1,2,1,35.0,0,0,1666613328.0
212,213,0,3,0,22.0,0,0,1666613328.0
213,214,0,2,0,30.0,0,0,1666613328.0
214,215,0,3,0,-1.0,1,0,1666613328.0
215,216,1,1,1,31.0,1,0,1666613328.0
216,217,1,3,1,27.0,0,0,1666613328.0
217,218,0,2,0,42.0,1,0,1666613328.0
218,219,1,1,1,32.0,0,0,1666613328.0
219,220,0,2,0,30.0,0,0,1666613328.0
220,221,1,3,0,16.0,0,0,1666613328.0
221,222,0,2,0,27.0,0,0,1666613328.0
222,223,0,3,0,51.0,0,0,1666613328.0
223,224,0,3,0,-1.0,0,0,1666613328.0
224,225,1,1,0,38.0,1,0,1666613328.0
225,226,0,3,0,22.0,0,0,1666613328.0
226,227,1,2,0,19.0,0,0,1666613328.0
227,228,0,3,0,20.5,0,0,1666613328.0
228,229,0,2,0,18.0,0,0,1666613328.0
229,230,0,3,1,-1.0,3,1,1666613328.0
230,231,1,1,1,35.0,1,0,1666613328.0
231,232,0,3,0,29.0,0,0,1666613328.0
232,233,0,2,0,59.0,0,0,1666613328.0
233,234,1,3,1,5.0,4,2,1666613328.0
234,235,0,2,0,24.0,0,0,1666613328.0
235,236,0,3,1,-1.0,0,0,1666613328.0
236,237,0,2,0,44.0,1,0,1666613328.0
237,238,1,2,1,8.0,0,2,1666613328.0
238,239,0,2,0,19.0,0,0,1666613328.0
239,240,0,2,0,33.0,0,0,1666613328.0
240,241,0,3,1,-1.0,1,0,1666613328.0
241,242,1,3,1,-1.0,1,0,1666613328.0
242,243,0,2,0,29.0,0,0,1666613328.0
243,244,0,3,0,22.0,0,0,1666613328.0
244,245,0,3,0,30.0,0,0,1666613328.0
245,246,0,1,0,44.0,2,0,1666613328.0
246,247,0,3,1,25.0,0,0,1666613328.0
247,248,1,2,1,24.0,0,2,1666613328.0
248,249,1,1,0,37.0,1,1,1666613328.0
249,250,0,2,0,54.0,1,0,1666613328.0
250,251,0,3,0,-1.0,0,0,1666613328.0
251,252,0,3,1,29.0,1,1,1666613328.0
252,253,0,1,0,62.0,0,0,1666613328.0
253,254,0,3,0,30.0,1,0,1666613328.0
254,255,0,3,1,41.0,0,2,1666613328.0
255,256,1,3,1,29.0,0,2,1666613328.0
256,257,1,1,1,-1.0,0,0,1666613328.0
257,258,1,1,1,30.0,0,0,1666613328.0
258,259,1,1,1,35.0,0,0,1666613328.0
259,260,1,2,1,50.0,0,1,1666613328.0
260,261,0,3,0,-1.0,0,0,1666613328.0
261,262,1,3,0,3.0,4,2,1666613328.0
262,263,0,1,0,52.0,1,1,1666613328.0
263,264,0,1,0,40.0,0,0,1666613328.0
264,265,0,3,1,-1.0,0,0,1666613328.0
265,266,0,2,0,36.0,0,0,1666613328.0
266,267,0,3,0,16.0,4,1,1666613328.0
267,268,1,3,0,25.0,1,0,1666613328.0
268,269,1,1,1,58.0,0,1,1666613328.0
269,270,1,1,1,35.0,0,0,1666613328.0
270,271,0,1,0,-1.0,0,0,1666613328.0
271,272,1,3,0,25.0,0,0,1666613328.0
272,273,1,2,1,41.0,0,1,1666613328.0
273,274,0,1,0,37.0,0,1,1666613328.0
274,275,1,3,1,-1.0,0,0,1666613328.0
275,276,1,1,1,63.0,1,0,1666613328.0
276,277,0,3,1,45.0,0,0,1666613328.0
277,278,0,2,0,-1.0,0,0,1666613328.0
278,279,0,3,0,7.0,4,1,1666613328.0
279,280,1,3,1,35.0,1,1,1666613328.0
280,281,0,3,0,65.0,0,0,1666613328.0
281,282,0,3,0,28.0,0,0,1666613328.0
282,283,0,3,0,16.0,0,0,1666613328.0
283,284,1,3,0,19.0,0,0,1666613328.0
284,285,0,1,0,-1.0,0,0,1666613328.0
285,286,0,3,0,33.0,0,0,1666613328.0
286,287,1,3,0,30.0,0,0,1666613328.0
287,288,0,3,0,22.0,0,0,1666613328.0
288,289,1,2,0,42.0,0,0,1666613328.0
289,290,1,3,1,22.0,0,0,1666613328.0
290,291,1,1,1,26.0,0,0,1666613328.0
291,292,1,1,1,19.0,1,0,1666613328.0
292,293,0,2,0,36.0,0,0,1666613328.0
293,294,0,3,1,24.0,0,0,1666613328.0
294,295,0,3,0,24.0,0,0,1666613328.0
295,296,0,1,0,-1.0,0,0,1666613328.0
296,297,0,3,0,23.5,0,0,1666613328.0
297,298,0,1,1,2.0,1,2,1666613328.0
298,299,1,1,0,-1.0,0,0,1666613328.0
299,300,1,1,1,50.0,0,1,1666613328.0
300,301,1,3,1,-1.0,0,0,1666613328.0
301,302,1,3,0,-1.0,2,0,1666613328.0
302,303,0,3,0,19.0,0,0,1666613328.0
303,304,1,2,1,-1.0,0,0,1666613328.0
304,305,0,3,0,-1.0,0,0,1666613328.0
305,306,1,1,0,0.92,1,2,1666613328.0
306,307,1,1,1,-1.0,0,0,1666613328.0
307,308,1,1,1,17.0,1,0,1666613328.0
308,309,0,2,0,30.0,1,0,1666613328.0
309,310,1,1,1,30.0,0,0,1666613328.0
310,311,1,1,1,24.0,0,0,1666613328.0
311,312,1,1,1,18.0,2,2,1666613328.0
312,313,0,2,1,26.0,1,1,1666613328.0
313,314,0,3,0,28.0,0,0,1666613328.0
314,315,0,2,0,43.0,1,1,1666613328.0
315,316,1,3,1,26.0,0,0,1666613328.0
316,317,1,2,1,24.0,1,0,1666613328.0
317,318,0,2,0,54.0,0,0,1666613328.0
318,319,1,1,1,31.0,0,2,1666613328.0
319,320,1,1,1,40.0,1,1,1666613328.0
320,321,0,3,0,22.0,0,0,1666613328.0
321,322,0,3,0,27.0,0,0,1666613328.0
322,323,1,2,1,30.0,0,0,1666613328.0
323,324,1,2,1,22.0,1,1,1666613328.0
324,325,0,3,0,-1.0,8,2,1666613328.0
325,326,1,1,1,36.0,0,0,1666613328.0
326,327,0,3,0,61.0,0,0,1666613328.0
327,328,1,2,1,36.0,0,0,1666613328.0
328,329,1,3,1,31.0,1,1,1666613328.0
329,330,1,1,1,16.0,0,1,1666613328.0
330,331,1,3,1,-1.0,2,0,1666613328.0
331,332,0,1,0,45.5,0,0,1666613328.0
332,333,0,1,0,38.0,0,1,1666613328.0
333,334,0,3,0,16.0,2,0,1666613328.0
334,335,1,1,1,-1.0,1,0,1666613328.0
335,336,0,3,0,-1.0,0,0,1666613328.0
336,337,0,1,0,29.0,1,0,1666613328.0
337,338,1,1,1,41.0,0,0,1666613328.0
338,339,1,3,0,45.0,0,0,1666613328.0
339,340,0,1,0,45.0,0,0,1666613328.0
340,341,1,2,0,2.0,1,1,1666613328.0
341,342,1,1,1,24.0,3,2,1666613328.0
342,343,0,2,0,28.0,0,0,1666613328.0
343,344,0,2,0,25.0,0,0,1666613328.0
344,345,0,2,0,36.0,0,0,1666613328.0
345,346,1,2,1,24.0,0,0,1666613328.0
346,347,1,2,1,40.0,0,0,1666613328.0
347,348,1,3,1,-1.0,1,0,1666613328.0
348,349,1,3,0,3.0,1,1,1666613328.0
349,350,0,3,0,42.0,0,0,1666613328.0
350,351,0,3,0,23.0,0,0,1666613328.0
351,352,0,1,0,-1.0,0,0,1666613328.0
352,353,0,3,0,15.0,1,1,1666613328.0
353,354,0,3,0,25.0,1,0,1666613328.0
354,355,0,3,0,-1.0,0,0,1666613328.0
355,356,0,3,0,28.0,0,0,1666613328.0
356,357,1,1,1,22.0,0,1,1666613328.0
357,358,0,2,1,38.0,0,0,1666613328.0
358,359,1,3,1,-1.0,0,0,1666613328.0
359,360,1,3,1,-1.0,0,0,1666613328.0
360,361,0,3,0,40.0,1,4,1666613328.0
361,362,0,2,0,29.0,1,0,1666613328.0
362,363,0,3,1,45.0,0,1,1666613328.0
363,364,0,3,0,35.0,0,0,1666613328.0
364,365,0,3,0,-1.0,1,0,1666613328.0
365,366,0,3,0,30.0,0,0,1666613328.0
366,367,1,1,1,60.0,1,0,1666613328.0
367,368,1,3,1,-1.0,0,0,1666613328.0
368,369,1,3,1,-1.0,0,0,1666613328.0
369,370,1,1,1,24.0,0,0,1666613328.0
370,371,1,1,0,25.0,1,0,1666613328.0
371,372,0,3,0,18.0,1,0,1666613328.0
372,373,0,3,0,19.0,0,0,1666613328.0
373,374,0,1,0,22.0,0,0,1666613328.0
374,375,0,3,1,3.0,3,1,1666613328.0
375,376,1,1,1,-1.0,1,0,1666613328.0
376,377,1,3,1,22.0,0,0,1666613328.0
377,378,0,1,0,27.0,0,2,1666613328.0
378,379,0,3,0,20.0,0,0,1666613328.0
379,380,0,3,0,19.0,0,0,1666613328.0
380,381,1,1,1,42.0,0,0,1666613328.0
381,382,1,3,1,1.0,0,2,1666613328.0
382,383,0,3,0,32.0,0,0,1666613328.0
383,384,1,1,1,35.0,1,0,1666613328.0
384,385,0,3,0,-1.0,0,0,1666613328.0
385,386,0,2,0,18.0,0,0,1666613328.0
386,387,0,3,0,1.0,5,2,1666613328.0
387,388,1,2,1,36.0,0,0,1666613328.0
388,389,0,3,0,-1.0,0,0,1666613328.0
389,390,1,2,1,17.0,0,0,1666613328.0
390,391,1,1,0,36.0,1,2,1666613328.0
391,392,1,3,0,21.0,0,0,1666613328.0
392,393,0,3,0,28.0,2,0,1666613328.0
393,394,1,1,1,23.0,1,0,1666613328.0
394,395,1,3,1,24.0,0,2,1666613328.0
395,396,0,3,0,22.0,0,0,1666613328.0
396,397,0,3,1,31.0,0,0,1666613328.0
397,398,0,2,0,46.0,0,0,1666613328.0
398,399,0,2,0,23.0,0,0,1666613328.0
399,400,1,2,1,28.0,0,0,1666613328.0
400,401,1,3,0,39.0,0,0,1666613328.0
401,402,0,3,0,26.0,0,0,1666613328.0
402,403,0,3,1,21.0,1,0,1666613328.0
403,404,0,3,0,28.0,1,0,1666613328.0
404,405,0,3,1,20.0,0,0,1666613328.0
405,406,0,2,0,34.0,1,0,1666613328.0
406,407,0,3,0,51.0,0,0,1666613328.0
407,408,1,2,0,3.0,1,1,1666613328.0
408,409,0,3,0,21.0,0,0,1666613328.0
409,410,0,3,1,-1.0,3,1,1666613328.0
410,411,0,3,0,-1.0,0,0,1666613328.0
411,412,0,3,0,-1.0,0,0,1666613328.0
412,413,1,1,1,33.0,1,0,1666613328.0
413,414,0,2,0,-1.0,0,0,1666613328.0
414,415,1,3,0,44.0,0,0,1666613328.0
415,416,0,3,1,-1.0,0,0,1666613328.0
416,417,1,2,1,34.0,1,1,1666613328.0
417,418,1,2,1,18.0,0,2,1666613328.0
418,419,0,2,0,30.0,0,0,1666613328.0
419,420,0,3,1,10.0,0,2,1666613328.0
420,421,0,3,0,-1.0,0,0,1666613328.0
421,422,0,3,0,21.0,0,0,1666613328.0
422,423,0,3,0,29.0,0,0,1666613328.0
423,424,0,3,1,28.0,1,1,1666613328.0
424,425,0,3,0,18.0,1,1,1666613328.0
425,426,0,3,0,-1.0,0,0,1666613328.0
426,427,1,2,1,28.0,1,0,1666613328.0
427,428,1,2,1,19.0,0,0,1666613328.0
428,429,0,3,0,-1.0,0,0,1666613328.0
429,430,1,3,0,32.0,0,0,1666613328.0
430,431,1,1,0,28.0,0,0,1666613328.0
431,432,1,3,1,-1.0,1,0,1666613328.0
432,433,1,2,1,42.0,1,0,1666613328.0
433,434,0,3,0,17.0,0,0,1666613328.0
434,435,0,1,0,50.0,1,0,1666613328.0
435,436,1,1,1,14.0,1,2,1666613328.0
436,437,0,3,1,21.0,2,2,1666613328.0
437,438,1,2,1,24.0,2,3,1666613328.0
438,439,0,1,0,64.0,1,4,1666613328.0
439,440,0,2,0,31.0,0,0,1666613328.0
440,441,1,2,1,45.0,1,1,1666613328.0
441,442,0,3,0,20.0,0,0,1666613328.0
442,443,0,3,0,25.0,1,0,1666613328.0
443,444,1,2,1,28.0,0,0,1666613328.0
444,445,1,3,0,-1.0,0,0,1666613328.0
445,446,1,1,0,4.0,0,2,1666613328.0
446,447,1,2,1,13.0,0,1,1666613328.0
447,448,1,1,0,34.0,0,0,1666613328.0
448,449,1,3,1,5.0,2,1,1666613328.0
449,450,1,1,0,52.0,0,0,1666613328.0
450,451,0,2,0,36.0,1,2,1666613328.0
451,452,0,3,0,-1.0,1,0,1666613328.0
452,453,0,1,0,30.0,0,0,1666613328.0
453,454,1,1,0,49.0,1,0,1666613328.0
454,455,0,3,0,-1.0,0,0,1666613328.0
455,456,1,3,0,29.0,0,0,1666613328.0
456,457,0,1,0,65.0,0,0,1666613328.0
457,458,1,1,1,-1.0,1,0,1666613328.0
458,459,1,2,1,50.0,0,0,1666613328.0
459,460,0,3,0,-1.0,0,0,1666613328.0
460,461,1,1,0,48.0,0,0,1666613328.0
461,462,0,3,0,34.0,0,0,1666613328.0
462,463,0,1,0,47.0,0,0,1666613328.0
463,464,0,2,0,48.0,0,0,1666613328.0
464,465,0,3,0,-1.0,0,0,1666613328.0
465,466,0,3,0,38.0,0,0,1666613328.0
466,467,0,2,0,-1.0,0,0,1666613328.0
467,468,0,1,0,56.0,0,0,1666613328.0
468,469,0,3,0,-1.0,0,0,1666613328.0
469,470,1,3,1,0.75,2,1,1666613328.0
470,471,0,3,0,-1.0,0,0,1666613328.0
471,472,0,3,0,38.0,0,0,1666613328.0
472,473,1,2,1,33.0,1,2,1666613328.0
473,474,1,2,1,23.0,0,0,1666613328.0
474,475,0,3,1,22.0,0,0,1666613328.0
475,476,0,1,0,-1.0,0,0,1666613328.0
476,477,0,2,0,34.0,1,0,1666613328.0
477,478,0,3,0,29.0,1,0,1666613328.0
478,479,0,3,0,22.0,0,0,1666613328.0
479,480,1,3,1,2.0,0,1,1666613328.0
480,481,0,3,0,9.0,5,2,1666613328.0
481,482,0,2,0,-1.0,0,0,1666613328.0
482,483,0,3,0,50.0,0,0,1666613328.0
483,484,1,3,1,63.0,0,0,1666613328.0
484,485,1,1,0,25.0,1,0,1666613328.0
485,486,0,3,1,-1.0,3,1,1666613328.0
486,487,1,1,1,35.0,1,0,1666613328.0
487,488,0,1,0,58.0,0,0,1666613328.0
488,489,0,3,0,30.0,0,0,1666613328.0
489,490,1,3,0,9.0,1,1,1666613328.0
490,491,0,3,0,-1.0,1,0,1666613328.0
491,492,0,3,0,21.0,0,0,1666613328.0
492,493,0,1,0,55.0,0,0,1666613328.0
493,494,0,1,0,71.0,0,0,1666613328.0
494,495,0,3,0,21.0,0,0,1666613328.0
495,496,0,3,0,-1.0,0,0,1666613328.0
496,497,1,1,1,54.0,1,0,1666613328.0
497,498,0,3,0,-1.0,0,0,1666613328.0
498,499,0,1,1,25.0,1,2,1666613328.0
499,500,0,3,0,24.0,0,0,1666613328.0
500,501,0,3,0,17.0,0,0,1666613328.0
501,502,0,3,1,21.0,0,0,1666613328.0
502,503,0,3,1,-1.0,0,0,1666613328.0
503,504,0,3,1,37.0,0,0,1666613328.0
504,505,1,1,1,16.0,0,0,1666613328.0
505,506,0,1,0,18.0,1,0,1666613328.0
506,507,1,2,1,33.0,0,2,1666613328.0
507,508,1,1,0,-1.0,0,0,1666613328.0
508,509,0,3,0,28.0,0,0,1666613328.0
509,510,1,3,0,26.0,0,0,1666613328.0
510,511,1,3,0,29.0,0,0,1666613328.0
511,512,0,3,0,-1.0,0,0,1666613328.0
512,513,1,1,0,36.0,0,0,1666613328.0
513,514,1,1,1,54.0,1,0,1666613328.0
514,515,0,3,0,24.0,0,0,1666613328.0
515,516,0,1,0,47.0,0,0,1666613328.0
516,517,1,2,1,34.0,0,0,1666613328.0
517,518,0,3,0,-1.0,0,0,1666613328.0
518,519,1,2,1,36.0,1,0,1666613328.0
519,520,0,3,0,32.0,0,0,1666613328.0
520,521,1,1,1,30.0,0,0,1666613328.0
521,522,0,3,0,22.0,0,0,1666613328.0
522,523,0,3,0,-1.0,0,0,1666613328.0
523,524,1,1,1,44.0,0,1,1666613328.0
524,525,0,3,0,-1.0,0,0,1666613328.0
525,526,0,3,0,40.5,0,0,1666613328.0
526,527,1,2,1,50.0,0,0,1666613328.0
527,528,0,1,0,-1.0,0,0,1666613328.0
528,529,0,3,0,39.0,0,0,1666613328.0
529,530,0,2,0,23.0,2,1,1666613328.0
530,531,1,2,1,2.0,1,1,1666613328.0
531,532,0,3,0,-1.0,0,0,1666613328.0
532,533,0,3,0,17.0,1,1,1666613328.0
533,534,1,3,1,-1.0,0,2,1666613328.0
534,535,0,3,1,30.0,0,0,1666613328.0
535,536,1,2,1,7.0,0,2,1666613328.0
536,537,0,1,0,45.0,0,0,1666613328.0
537,538,1,1,1,30.0,0,0,1666613328.0
538,539,0,3,0,-1.0,0,0,1666613328.0
539,540,1,1,1,22.0,0,2,1666613328.0
540,541,1,1,1,36.0,0,2,1666613328.0
541,542,0,3,1,9.0,4,2,1666613328.0
542,543,0,3,1,11.0,4,2,1666613328.0
543,544,1,2,0,32.0,1,0,1666613328.0
544,545,0,1,0,50.0,1,0,1666613328.0
545,546,0,1,0,64.0,0,0,1666613328.0
546,547,1,2,1,19.0,1,0,1666613328.0
547,548,1,2,0,-1.0,0,0,1666613328.0
548,549,0,3,0,33.0,1,1,1666613328.0
549,550,1,2,0,8.0,1,1,1666613328.0
550,551,1,1,0,17.0,0,2,1666613328.0
551,552,0,2,0,27.0,0,0,1666613328.0
